condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
within_condition_pilot,transparent_pilot,20,10,random,matched,4.0,98.22000000000003,0.0,0.0,17.8,0.178
within_condition_pilot,transparent_pilot,20,10,random,matched,5.0,97.94500000000002,0.3,0.003,14.65,0.14650000000000002
within_condition_pilot,transparent_pilot,20,10,random,matched,6.0,97.92000000000003,0.0,0.0,20.8,0.20800000000000002
within_condition_pilot,transparent_pilot,20,10,random,matched,7.0,98.24500000000003,0.0,0.0,17.55,0.1755
within_condition_pilot,transparent_pilot,20,10,random,matched,8.0,97.91000000000003,0.0,0.0,20.9,0.209
within_condition_pilot,transparent_pilot,20,10,random,matched,9.0,98.27500000000002,0.0,0.0,17.25,0.17250000000000001
within_condition_pilot,transparent_pilot,20,10,random,matched,10.0,97.84000000000003,0.0,0.0,21.6,0.21600000000000003
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,1.0,95.00000000000006,0.0,0.0,50.0,0.5
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,2.0,96.85000000000005,0.15,0.0015,28.65,0.28650000000000003
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,3.0,97.37000000000003,0.0,0.0,26.3,0.263
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,4.0,96.56500000000004,0.0,0.0,34.35,0.3435
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,5.0,97.24500000000003,0.1,0.001,25.65,0.2565
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,6.0,97.50000000000003,0.0,0.0,25.0,0.25
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,7.0,95.73500000000004,0.0,0.0,42.65,0.42650000000000005
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,8.0,97.11500000000004,0.0,0.0,28.85,0.2885
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,9.0,97.36000000000004,0.0,0.0,26.4,0.264
within_condition_pilot,transparent_pilot,20,10,sweeping,hnp,10.0,96.16000000000001,0.8,0.008,22.4,0.22399999999999998
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,1.0,95.63000000000005,0.1,0.001,41.8,0.418
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,2.0,97.51500000000003,0.1,0.001,22.85,0.2285
within_condition_pilot,transparent_pilot,20,10,sweeping,matched,3.0,96.34500000000004,0.0,0.0,36.55,0.36550000000000005
