condition,condition_role,distance_cm,power_dbm,jammer_mode,method,method_label,role,point_type,train_seed,n_training_seeds,n_fixed_trajectories_per_seed,return,ci95_low,ci95_high,return_sd_descriptive,collision_rate,switch_rate,color,marker,hollow,condition_order,jammer_order,method_order,point_order
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,2.0,10,20,97.25500000000002,,,,0.0035,0.2065,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,3.0,10,20,96.91000000000004,,,,0.0045,0.2234999999999999,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,4.0,10,20,98.22000000000004,,,,0.0,0.178,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,5.0,10,20,97.94500000000002,,,,0.003,0.1465,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,6.0,10,20,97.92000000000004,,,,0.0,0.208,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,7.0,10,20,98.24500000000003,,,,0.0,0.1755,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,8.0,10,20,97.91000000000004,,,,0.0,0.209,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,9.0,10,20,98.27500000000002,,,,0.0,0.1725,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,10.0,10,20,97.84000000000005,,,,0.0,0.216,#D55E00,s,False,0,1,1,0
within_condition_pilot,transparent_pilot,20,10,random,matched,Capacity-matched MLP,learned,training_seed_mean_t95ci,,10,20,97.88450000000003,97.55215852090897,98.21684147909109,0.4645813527610972,0.0010999999999999998,0.19029999999999997,#D55E00,s,False,0,1,1,1
within_condition_pilot,transparent_pilot,20,10,random,threshold,Threshold / hysteresis,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,96.90000000000005,,,0.5078333750770021,0.0,0.31,#009E73,^,False,0,1,2,1
within_condition_pilot,transparent_pilot,20,10,random,max_quality,Maximum measured quality,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,95.37500000000007,,,0.7114662399062185,0.0,0.4625000000000001,#E69F00,v,False,0,1,3,1
within_condition_pilot,transparent_pilot,20,10,random,stay,Stay,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,73.5,,,8.075303481342944,0.1325,0.0,#56B4E9,<,False,0,1,4,1
within_condition_pilot,transparent_pilot,20,10,random,random,Random,ordinary,fixed_trajectory_mean_no_seed_ci,,0,20,66.29999999999998,,,6.838744113697477,0.13099999999999998,0.8655000000000002,#CC79A7,>,False,0,1,5,1
within_condition_pilot,transparent_pilot,20,10,random,jammer_greedy,Jammer-aware greedy (privileged),privileged-current-label,fixed_trajectory_mean_no_seed_ci,,0,20,98.73500000000003,,,0.3731445324606207,0.0,0.1265,#009E73,D,True,0,1,7,1
within_condition_pilot,transparent_pilot,20,10,random,clairvoyant_oracle,Clairvoyant DP (privileged upper bound),privileged-full-sequence,fixed_trajectory_mean_no_seed_ci,,0,20,99.56999999999998,,,0.07326950970650642,0.0,0.043000000000000003,#000000,*,True,0,1,8,1
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,1.0,10,20,96.97000000000004,,,,0.0,0.303,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,2.0,10,20,96.93000000000004,,,,0.0,0.307,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,3.0,10,20,94.39000000000009,,,,0.0015,0.5315000000000001,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,4.0,10,20,98.08,,,,0.0,0.192,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,5.0,10,20,97.28500000000004,,,,0.0005,0.262,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,6.0,10,20,94.49000000000008,,,,0.0015,0.5225,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,7.0,10,20,95.34500000000006,,,,0.0015,0.436,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,8.0,10,20,95.29000000000003,,,,0.0015,0.441,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,9.0,10,20,94.70500000000006,,,,0.0,0.5295,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,individual_training_seed,10.0,10,20,95.62000000000003,,,,0.001,0.4185,#0072B2,o,False,1,1,0,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,hnp,HNP-DQN,learned,training_seed_mean_t95ci,,10,20,95.91050000000004,94.97687252486318,96.8441274751369,1.305121216166849,0.00075,0.3943,#0072B2,o,False,1,1,0,1
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,1.0,10,20,95.09500000000006,,,,0.001,0.471,#D55E00,s,False,1,1,1,0
distance_shift_40cm_10dBm,cross_configuration,40,10,random,matched,Capacity-matched MLP,learned,individual_training_seed,2.0,10,20,97.28500000000004,,,,0.001,0.2515,#D55E00,s,False,1,1,1,0
